,pretty_comp,et_c33
0,NdCoP,81.1
1,BeCdSe2,105.9
2,Ba4TcTe,24.8
3,RbI3,19.8
4,ZnSiO3,331.9
5,LuScZn2,104.1
6,Li2PrTl,83.0
7,NbAlNi2,215.3
8,Mg2H6Os,155.5
9,NbH2,267.6
10,Nb3B4,520.7
11,SbPd,153.5
12,B6As,366.7
13,CrPO5,35.3
14,Li7SbO6,171.4
15,LiCo2Ge,244.5
16,RbLuSe2,75.9
17,Na3BP2,45.3
18,Yb2SO2,69.7
19,Zr2BeCr,146.1
20,NiCO3,161.4
21,NdTlS2,71.4
22,NiAsSe,189.0
23,NaCN,37.6
24,YMgBe2,128.2
25,SrGe2,68.0
26,Yb(ZnAs)2,106.6
27,UPb3,75.2
28,InCuO2,319.0
29,AgBiSe2,101.9
30,SmCuSe2,108.7
31,BaCO3,32.7
32,ZnCu2SnSe4,77.4
33,NaH,102.8
34,Be2NbRh,200.1
35,K2Be2Co,96.1
36,Li3FeP2HO8,136.2
37,Ca3P2,116.2
38,V2ZnO6,99.5
39,VZnF6,98.3
40,Dy2SO2,224.3
41,CaCdO2,222.6
42,KPH2SO3,47.4
43,Li2MnBe,146.8
44,Ni3B,314.3
45,SrMnGe,50.9
46,Rb3In,6.3
47,BeO,328.6
48,Tm(MnGe)2,193.7
49,FeClO,15.6
50,LiCrP2O7,227.6
51,OsCl2O,30.4
52,TcB,385.4
53,Sr2HfBe,39.2
54,LiHF2,220.9
55,Tb2CoGe2,110.8
56,SmBi2ClO4,87.7
57,Na4PbO4,79.0
58,Be2InIr,296.7
59,Ti2BeMo,205.9
60,Co2NiSe4,156.1
61,LiMgN,195.6
62,Rh3Br,180.2
63,Nb3Ga2,259.3
64,Th(PS3)2,75.7
65,Na2PtC2,449.8
66,YNbRu2,297.0
67,Ti2ZnO5,153.2
68,LuAlGe,196.4
69,RbNa2Sb,36.7
70,YbAgSb,99.5
71,Yb2PrDyS6,91.2
72,Rb2ThF6,128.1
73,Ca(DyS2)2,147.8
74,Sr3P6(N4O3)2,146.0
75,Nd(SiAu)2,181.1
76,Mn2SnRu,217.3
77,WN2,647.0
78,CrAg(PS3)2,29.7
79,BeFeRh2,253.6
80,HF,24.8
81,Cr3Ni,285.3
82,BaBiBO4,83.0
83,Ca2BeMo,54.0
84,Be2MoP,561.7
85,LiAlSe2,58.4
86,Sb2O3,91.7
87,SrS2,94.4
