,pretty_comp,et_c55
0,Ho6FeBi2,41.4
1,Ti2CoIr,65.1
2,Ti2AlCr,18.6
3,Nd(SiAu)2,63.4
4,MnSnPt,10.9
5,Ge3As4,34.8
6,BeNb2P,17.6
7,PrClO,32.7
8,ScBRh3,72.3
9,Y2In,34.4
10,TbTlAg2,39.3
11,TiCd,40.9
12,TmAu,38.5
13,MnBeNi2,85.5
14,SnAs,27.1
15,Na2Ti2Sb2O,24.5
16,CaBiClO2,21.5
17,Ba2HfS4,22.5
18,TaSb2,69.0
19,H2C,8.8
20,ZrSe3,6.1
21,LiBeV,55.3
22,ScIr2,122.0
23,PdPbO2,3.4
24,DyBRh3,69.0
25,Ca3BiP,19.7
26,Sc2BeCo,2.2
27,CrI2,8.0
28,PrAgPb,41.3
29,Yb(SiPt)2,49.0
30,Ba4HfCl,3.7
31,Sm2IrRh,34.2
32,K2NaAs,9.7
33,TaBeTc,9.1
34,RbSmS2,28.2
35,MgCoGe,34.7
36,Lu(FeO2)2,54.8
37,Ho(CuO2)2,58.8
38,VPbO3,48.7
39,Th(MnGe)2,85.3
40,Hg3(SCl)2,9.6
41,TaTcPb2,47.4
42,BaSi2Pd,29.0
43,Mg2FeH6,57.9
44,MnPO4,85.2
45,NaAlTe2,12.2
46,YbS,35.2
47,KSc2F7,18.0
48,Rb2Se,5.9
49,SbSBr,12.7
50,MnZn,106.4
51,NdBiPd,33.6
52,Sr4S3O,29.5
53,Rb2CoF6,11.4
54,ZnCdPt2,61.8
55,Li7SbO6,71.9
56,Li3LaP2,46.1
57,Ti5Si3,84.2
58,TmSnPd2,32.2
59,HfB,52.2
60,InAuO2,16.0
61,KBi2F7,16.7
62,Ce(FeSi)2,84.5
63,CoW,47.5
64,K2B2Se7,18.2
65,Li2Mn(CO3)2,21.7
66,NaSbSe2,15.3
67,Ba2Mn2Sb2O,31.0
68,NaScS2,33.8
69,Al8Mo3,104.2
70,NiAgO2,16.6
71,KNdO2,24.6
72,Lu6FeSb2,52.0
73,LiPb,13.5
74,Cr3Rh,63.9
75,Cr2S5,7.7
76,Pr2PbSe4,26.2
77,RbCeS2,26.1
78,NdTeCl,29.6
79,Hf(CoSi)2,104.6
80,Ti2AsP,88.9
81,BPbO3,172.5
82,DyRh,37.0
83,YbNi2B2C,49.1
84,CaCrO4,32.9
85,Ba(GaTe2)2,16.5
86,NdH3(CO2)3,33.6
87,ErRh2Pb,53.1
88,ErS,21.4
89,Ca(SiAu)2,39.1
90,PrP5,31.3
91,SmCl3,9.1
92,NaSO4,22.5
93,As3W2,93.3
94,ZrNiSn,65.4
95,Rb2NiF6,11.7
96,B2AsP,161.8
97,BeCdCu2,46.8
98,PrBi2ClO4,14.6
99,CaCl2,11.8
100,CaBeBi2,9.5
101,SrBe2Ni,38.2
102,Rb2IrF6,18.0
103,Sr2Si,30.5
104,CdSO4,21.8
105,ZrS,23.8
106,V2CrFe,70.5
107,TiCo,50.3
108,BePbCl2,5.9
109,ZrBeGa,63.9
110,TiCdHg2,40.4
111,PrTmMg2,39.5
112,TmH2,75.8
113,Ca2Co2O5,53.0
114,Fe2Cu(AsH)2,30.5
115,YTi,27.8
116,Tl(FeS)2,13.7
117,Zr2BeGe,37.4
118,Ag2PbO2,26.8
119,PdBr2,10.8
120,NaSbF6,4.4
121,HfBeCd,59.3
122,CrFe2Si,92.2
123,Na2H4Pt,10.3
124,PaTe2Au,36.5
125,UGe3,72.1
126,Na4Br2O,12.4
127,Ba4ScW,1.2
128,TmAg,40.0
129,Sm3Th,30.6
130,ZrB6,8.3
131,Na6MnCl8,12.0
132,V4GaS8,52.9
133,LaBeP,89.9
134,Li5AuO4,46.9
135,As2Ir,81.4
136,VSnRh2,59.4
137,Tb(CuS)2,2.8
138,FeSbO4,87.3
139,BaV4ZnO8,40.1
140,NaBeCr2,11.4
141,CaSbAu,18.8
142,NaH2Pd3,36.5
143,PmDyRu2,35.3
144,PrCuSO,34.1
145,Ag2HgI4,8.2
146,RbNO3,2.7
147,SrAgAs,28.5
148,Co3TeO8,11.0
149,Pr3GaC,3.8
150,NaAuO2,25.0
151,TbH3,96.5
152,Zr2Fe3Ge,47.7
153,MnCoTe,9.5
154,Ca4BeIr,13.8
155,LaAlO3,161.9
156,Sm(SiOs)2,85.5
157,Zr2Ni,25.4
158,Zn2AgSbO6,60.4
159,Tb(CrSi)2,96.8
160,Zn(HO)2,26.8
161,BeTcHg,29.9
162,ScBrO,9.0
163,LiDySe2,20.2
164,GeRh,65.2
165,HoCo2,54.8
166,Pr(AgGe)2,48.4
167,Na3LiP2O7,18.3
168,Rb3Tl,3.3
169,CuCClO,14.7
170,Sm2MgRu,12.4
171,RbC2I3N2,2.8
172,K3SbO4,29.1
173,Li7VN4,48.2
174,VFeH2O5,42.4
175,AlCuSe2,38.4
176,DyAlAg2,22.7
177,YSbPt,47.2
178,Be2C,203.7
179,ErVO4,47.6
180,YbBiPd,20.0
181,Ag3SI,7.1
182,YbGeO3,141.0
183,Sm3CuSnS7,32.7
184,RbH3O2,7.9
185,BeV2Si,130.8
186,Na2Te,12.5
187,Pr(CoSi)2,102.7
188,NdCo5,62.1
189,Ti2NiS4,63.5
190,RuAu3,68.0
191,KBeNi2,14.2
192,TiCo2Si,66.8
193,ScAlO3,156.0
194,HoPb3,19.1
195,SrPdF4,26.1
196,UPt,31.9
197,Cr3Os,99.0
198,Ca2N,3.6
199,Na8PO3,13.1
200,YRh3C,74.8
201,ErAl3,58.8
202,ThGeO4,52.4
203,NaAuC2,2.5
204,KLiMnS2,8.1
205,SrB6,76.4
206,BaInMo,19.0
207,Sr(CoGe)2,61.9
208,Sm3Ga,26.8
209,TiSiPt,87.2
210,SmAgPb,41.8
211,ThNi2,19.8
212,BaTeO3,22.1
213,BeZnIr2,33.4
214,Sr2BeOs,5.0
215,Ca2MgBe,11.2
216,DyMgIn,53.4
217,Al2CdS4,53.7
218,Be2ZnW,54.1
219,NiGePd,45.4
220,NaCuO2,61.9
221,ZnSnO2,17.4
222,HfBeTc,43.3
223,TiAsPd2,14.9
224,Tb2C,9.9
225,LiMnPd2,62.4
226,Sm2O3,64.4
227,K3NaCr2O8,15.8
228,DySI,9.2
229,RbAu,11.9
230,Na2PtS2,20.6
231,DyScO3,103.9
232,Rb2RhF6,15.7
233,NpTe,19.9
234,Pb2Au,12.7
235,AsCl5,2.8
236,Rb2MnF5,17.0
237,NdIr2,86.0
238,K2CuF4,16.1
239,Li2CeAs2,28.9
240,NdTmMg2,40.2
241,SrSe,21.8
242,MgTe,32.1
243,GeTe,25.9
244,Ti2BeCo,74.0
245,PmHoMg2,40.9
246,Bi2SeO2,15.7
247,NaHg2,7.1
248,NdTeF,48.6
249,TaAlO4,69.7
250,Ho2Fe2Si2C,62.2
251,SmLuRu2,39.2
252,Np(CoSi)2,101.3
253,PrOF,60.6
254,MnO,81.6
255,MgSnO3,52.9
256,TbFe2,27.8
257,AlClO,14.2
