,pretty_comp,eps_average_sq
0,Ba2FeGe,13.70604975913921
1,Li3FeSiBO7,5.553446377400854
2,Ba(CdAs)2,4.502021768050438
3,Zr2BeP,8.644713220614475
4,Ge2N2O,2.161295907551763
5,Ca2N,2.426767397176746
6,TiBe2Hg,9.937209534539027
7,CeS,9.206698648266924
8,CrB4,8.126149149504949
9,Mn2Au,12.76852118819299
10,LiCaBe,8.681199993856456
11,LiTiRh2,9.044711161778467
12,CaLaBe2,10.056316423024883
13,NaTiS2,4.780634546445343
14,KC4N3,1.7606248890663792
15,NbVF6,8.844267446581807
16,GaNi2,10.14662998241288
17,Mg(GaO2)2,1.9696361762180008
18,CaCd3O4,2.3997569321356966
19,Al(FeO2)2,6.905997393570316
20,Hg3As8(S4Br3)2,2.664150896627292
21,Li3Mn3SiO8,8.235040983504575
22,NaTiBe2,9.021406024931297
23,TiZnN2,2.8880270081839607
24,Cr3N2,12.812290973904705
25,Sr5Si3,4.962479219100066
26,Sc2BeRu,9.163023518468128
27,AsCl3O,2.01960392156482
28,Mg2CoO4,9.213050526291495
29,Zn3Pt,8.354421982798492
30,YbPmAu2,10.389499506713497
31,SrCaI4,2.048226875454312
32,LiCaGaF6,1.479572010188532
33,RbLiSe,2.114434518573071
34,MgSi2SnO6,1.869349262889808
35,ScCoTe,4.326349500444919
36,Rb(WCl3)3,3.4107574916236225
37,BaSb3,5.5922356888815035
38,BaV2P,14.464731821456859
39,TiNi2Sb,7.080127117502905
40,Cu3Sn,14.55401662772171
41,NaPrTe2,2.9170018854981907
42,Y2Cr2C3,9.133405717474725
43,Sc2BeBr,8.522925945159132
44,Be2ZnTe,8.632149210943934
45,Yb2AgPd,4.837633719082088
46,LiTaBe,8.318994330246094
47,CuTcBi,11.683163099092646
48,HoCdPt2,11.162625139276157
49,GaHO2,1.998807978104284
50,RbGe,7.234611254241654
51,TaBeGe2,9.910987169130363
52,NaMn7O2,15.732264087960555
53,Bi2SO2,3.3187999839299347
54,GaAgS2,2.7928599439761865
55,Ca2TaBiO6,2.3886607126170096
56,Co2Ge,11.655114757049795
57,LiCaTa2O6F,2.1438205770695147
58,TlIO4,2.2958077736024265
59,Sr2SO,2.151309678622149
60,LiCuCO3,1.9672400294151533
61,BeSnPb2,12.355278224305591
62,PdCl2,2.967299557959504
63,Li2ScFe(Si2O)2,2.3650510917666594
64,PdAuO2,6.588226873243919
65,ErSb,14.915877446533274
66,Mg4BeRu,11.534019247426286
67,TlCoBi,13.078803462090864
68,TlGaTe2,3.852341279447258
69,MoCl3,3.8629738112840815
70,TeO2,3.3953939388530463
71,Ba3In2Cl2O5,2.082762588486744
72,Sm2C3,9.134276107059607
73,Ta2I5,3.8589635914322895
74,Rb2Sb4O,1.9206422536918912
75,Li5TaO5,1.9774478501341064
76,Rb2MgCl4,1.6923750569342877
77,BeNbIn,12.640021097028804
78,YBeFe,11.360887582696463
79,KFeBr3,3.512809891430696
80,CuSb2H2(O3F4)2,1.6823990806781448
81,USe,11.439235114289765
82,HgRhF6,4.531522922815243
83,Li3UO4,2.5651835541860684
84,Er2InAg,10.103741881105238
85,LiMn2O4,11.237925372001126
86,BeTlSb2,13.095403773843708
87,ZrAlPt2,12.766005639979957
88,LiV(PO3)3,2.638370709358334
89,KTmI3,3.623018998938132
90,CrO3,8.795337780134806
91,HfSnPt,11.682230095319984
92,BaMgHg,8.231427579709369
93,Mn2Sb,15.353709649462571
94,AlTl(MoO4)2,2.0941346661568843
95,Tc3N,8.454237596219622
96,BeGaPd,9.206170032465543
97,Tl2Sn2S5,2.9968872740450774
98,Hf3Pb,12.048863016899144
99,TaBeSi,10.105551279701007
100,UFe5Si3,10.568842573022524
101,Y2Te5O3,2.250088887133128
102,ScNiSb,4.3942689949524025
103,Sb2Pd,10.136384957172847
104,P3Ir,3.8357137536578514
105,Nb3Cr,12.382919688021884
106,NdMgGa,8.45999408983245
107,BeSb2Br,6.453205921607234
108,TcO3F,2.4357955579235298
109,MgFeF6,4.421896274978266
110,Mg(BiO2)2,2.8987756035954217
