,pretty_comp,et_c22
0,Nd3In,69.5
1,Zn(CoO2)2,236.2
2,Rh3Pb,245.1
3,Sb2O3,35.0
4,HoNiBi,167.3
5,ErPO4,298.3
6,CdIrO3,212.7
7,Ba2YbSbO6,236.6
8,BiSI,34.2
9,NaYb3,15.9
10,Al2FeIr,326.0
11,K3P,28.7
12,TmH2,143.1
13,NpPd3,201.6
14,GaN,359.6
15,Yb3V,25.9
16,InPb2I5,34.2
17,Ca3SnN,65.8
18,Cd(RhO2)2,214.2
19,FeCuS2,128.0
20,ScPd,157.5
21,KNaICl,35.0
22,Sr2FeSO3,108.7
23,TcF6,30.7
24,Zr2TiBe,146.4
25,U3Se4,144.3
26,CaBeMo2,192.0
27,BaSnW2,109.6
28,TiNbS4,50.3
29,LiUN2,275.7
30,Sr6Li2Cr2N8O,181.9
31,HfSnRh2,134.7
32,NbAlPt,137.4
33,NaAuF4,55.1
34,K2PdF6,67.4
35,ZrCl2,133.0
36,Ti3As,228.8
37,Rb3BrO,46.1
38,DyNi2,169.3
39,Ti2BeMo,195.0
40,Li4BePd,67.3
41,NiPtF6,80.6
42,UAg3,112.9
43,KIO4,45.3
44,Ba2TaTe,33.1
45,SnAsIr,162.4
46,PrPtF7,85.2
47,Sc2GaIr,166.4
48,BaLiBi,8.1
49,TbFeSi,194.6
50,CaAlH5,73.5
51,CaAlSiH,148.6
52,NaLi2Bi,43.8
53,Li3MnSi2O7,89.1
54,Be(HO)2,134.7
55,CaSnO3,310.8
56,SrMgSi,98.8
57,LiCu(PO3)2,75.0
58,ZrBePd,136.7
59,Al3Cr,158.2
60,BaZrCu2,58.9
61,NbCd3,143.8
62,CeScGe,105.3
63,UCuAs2,169.4
64,FeB2,498.2
65,ScAlCo2,260.6
66,USi3,216.5
67,MgZrO3,335.5
68,Ga2PdBr8,26.7
69,CuBi(WO4)2,210.7
70,Sr(CdSb)2,74.5
71,ErInCu2,126.3
72,TbCd,73.9
73,CoTe(PbO3)2,195.6
74,Li2CoCl4,44.6
75,MgSbRu2,285.7
76,BeFe2Te,104.0
77,YTlO2,189.6
78,EuS,181.1
79,CaBe2Ge,44.6
80,BiF5,137.6
81,PrTe3,50.0
82,SrMoO3,345.1
83,Ba3Nb2CoO9,249.9
84,BaNa2V,18.7
85,HoBr3,3.5
86,BaFeIr2,87.4
87,Np2InPt2,151.3
88,Be2CrSb,193.7
89,DyGa,135.6
90,Be2TlMo,201.8
91,PrY3,53.0
92,BaMn2Sn,66.2
93,ZrB2,550.8
94,LiLuO2,271.3
95,K3NbO8,90.5
96,Zn3(PO4)2,170.3
97,Hf3Te2,138.4
98,Mg2NF,214.8
99,Zn2AgSbO6,260.4
100,Ac2O3,186.8
101,BeCo4Hg,155.9
102,Dy(Al2Fe)4,253.1
103,V2ZnO6,245.1
104,BaCo2(PO4)2,150.4
105,K3Ag3As2,45.8
106,Zr(NiP)2,281.9
107,ZrBe2Cr,107.6
108,Er(Al2Mo)2,227.5
109,ErBi2BrO4,170.6
110,BeCr2Ge,206.3
111,MgCrF6,68.6
112,UAl3Pd2,200.1
113,BeNbCr2,213.1
114,TiMo2As,157.1
115,NiAgO2,203.5
116,Li4BeW,76.5
117,TiF2,136.4
118,K2S,35.8
119,Yb(MnAs)2,125.1
120,BaRh2Br,93.3
121,Ca(VS2)2,72.5
122,BeNi3,232.1
123,ScAlCu2,152.4
124,CaSiSnO5,179.5
125,OF3,4.8
126,MgBeRh2,196.4
127,MnBeGe2,149.8
128,MgCoO2,213.5
129,NaHoS2,115.6
130,Na4NpO5,77.6
131,Ti2BeCo,175.5
132,FeO2,279.8
133,Zr3O,198.7
134,Ho2CdOs,137.7
135,Tb2Mg,64.7
136,Sc2CuOs,183.7
137,NdO2,193.0
138,TaAsRh2,160.7
139,Ca(HO)2,82.3
140,SmBi2IO4,156.7
141,TaInRu2,344.7
142,Sm3Th,57.8
143,Sr(NdS2)2,141.6
144,NpAs,124.5
145,Tm2MgTc,117.0
146,CaTi2S5,57.8
147,TaMoN,554.7
148,PmYMg2,54.1
149,Ba4MgCd,13.3
150,ErRh5,283.2
151,Tl2SiSe3,33.6
152,Li4CoO4,133.3
153,BeCr2Hg,178.8
154,Pb5(SI3)2,27.3
155,CuAsPbO4,72.3
156,Ca2BeCu,73.6
157,ZrTe3,115.2
158,TaGaRu2,389.1
159,LiMnF4,78.9
160,Sb2Se3,47.2
161,BeFeCl,139.0
162,RbCuCl3,39.4
163,Ba2Bi2O5,59.2
164,V3Cd,144.1
165,Ho(PRu)2,314.1
166,Yb(SiPd)2,157.9
167,SrTa2Be,138.6
168,SrAcTl2,52.1
169,KrF2,20.7
170,AlAuO2,308.9
171,Li4Mn3,135.1
172,BaTa2Be,64.7
173,Tm2AlSi2,132.2
174,WCl4O,17.7
175,ThGeO4,287.4
176,Ba2CrTe,35.1
177,CoSO4,135.9
178,DyTiGe,137.8
179,UTeS,134.6
180,SrMnBe,42.8
181,NaSbS2,47.8
182,CaCoSi,146.8
183,TiReN3,432.1
184,AlAsO4,55.0
185,ScIr3C,226.3
186,DyP5,111.8
187,BaTlBi,23.6
188,MgRe3,339.6
189,Yb(ZnP)2,157.3
190,UCoAs2,194.4
191,Ta2N,429.5
192,BaYSn,3.8
193,Rb3PdF5,41.4
194,MgZrAu2,148.5
195,KCaCl3,60.2
196,Y2SO2,208.8
197,Tm2In,98.6
198,CaTlCl3,56.2
199,KH,35.1
200,Sr2ZrBe,36.6
201,H6CNF,39.7
202,Rb3TlF6,40.0
203,Sr4S3O,130.7
204,Ca4As2O,136.0
205,Li(CO)2,113.1
206,HfMgBe2,106.9
207,Li8NbO6,173.2
208,KPrS2,89.3
209,CrBr3,23.9
210,K5As4,33.4
211,LuNiBi,166.1
212,YbPaRu2,189.7
213,Si2Mo,376.9
214,Sc2IrPd,179.9
215,BaHf4Be,60.7
216,Li5AuO4,189.4
217,Tm6CoBi2,94.9
218,InTe,47.7
219,SmAg2Hg,82.6
220,HfBeSb2,123.9
221,LiCeSn,109.6
222,Na3Co2SbO6,189.5
223,SmIn2Rh,122.8
224,LiScAs2O7,134.3
225,H4BrN,42.6
226,BeGa2Mo,282.1
227,BaMgTe,19.7
228,NaCN,36.6
229,Sm2MgAl,69.0
230,Ca2BeBi,54.1
231,VGePt,147.3
232,HgHOF,49.0
233,Cd2GaAgS4,82.5
234,ZrTaBe2,178.6
235,Nd2ZnIr,128.0
236,Yb(CuSi)2,174.8
237,Ce(AsRu2)2,246.8
238,CeTh2O6,351.4
239,LiFe2F6,141.5
240,SrP3,100.8
241,Ti2Co,124.3
242,B6P,470.8
243,K3Na(SO4)2,75.4
244,Ba2AlFe3O8,204.0
245,NaAlH4,43.9
246,Cd3PCl3,53.2
247,TiRh,152.8
248,IrF4,88.6
249,Hg3(TeBr)2,22.6
250,NbCoSn,89.1
251,Nb3TeCl7,95.0
252,Cr(BH)6,17.9
253,Hg(BiS2)2,45.1
254,Sc2AlC,171.8
255,CaBiF6,27.7
256,DyTaRu2,323.4
257,InAgS2,118.8
258,Tb(MnSi)2,190.8
259,ErSe2,134.3
260,MgSnP2,80.0
261,NdGe2,96.3
262,TaBeO3,394.3
263,Y2MgS4,89.8
264,Na2ZnGeO4,107.0
265,LaS,203.9
266,Sm(SiNi)2,228.1
267,LiYS2,158.2
268,CuHOF,121.5
269,TmAlAg2,109.5
270,Th(AlC)4,309.1
271,Mn2AlV,287.0
272,Na2NiO2,148.0
273,CuAsPt2,159.6
274,Dy(GePd)2,149.6
275,MgBe2Ru,229.9
276,CrSe,65.6
277,Sb2S3,49.6
278,TiP2O7,161.4
279,ZnSbF6,47.4
280,BePOs,162.4
281,Dy(GeRu)2,205.9
282,Zn(BiO2)2,129.4
283,Zr2BeCl,129.4
284,YbS2,4.6
285,CrB,583.7
286,FeCoSn,219.0
287,CaReBi,110.9
288,BeNbBi4,40.0
289,MnInPd2,133.9
290,SrMg2N2,195.6
291,KNa2Sb,34.4
292,Mg2BePt,173.1
293,RbSmTe2,55.2
294,Si(O2F3)2,46.8
295,HfZr,158.5
296,HfPt,214.0
297,Ba2SbBr,80.2
298,LiDySe2,99.8
299,GaSeBr7,20.4
300,Dy(NiGe)2,190.5
301,Ca2SiB2O7,298.7
302,Mg2PbO4,212.8
303,TmTe,178.2
304,FeAg2SnS4,62.6
305,Ba(ZnAs)2,112.4
306,CaGe2O5,191.5
307,ZnRh,228.5
308,SbSI,84.6
309,LiHfPt2,146.1
310,TbF3,216.0
311,Li2PmIn,82.3
312,BeV2Si,205.0
313,BaAgSb,8.7
314,Ti2GaFe,149.5
315,Li2NiSnO4,220.6
316,BaTa2Bi2O9,342.8
317,Li2SnBi,44.7
318,Pr3CuSiS7,121.0
319,NbSbRh,198.2
320,Th3Sb4,147.3
321,BeGaRu,255.5
322,TaFeSb,116.5
323,Sc3Fe2Si3,199.7
324,ScP,225.3
325,BeMoPt2,206.4
326,Sm3TlC,147.7
327,KAuSe2,34.9
328,SmCoO3,348.4
329,Rb2O2,56.8
330,Li4TeO5,22.9
331,RbNa2NiO2,75.0
332,TbAgHg2,87.2
333,MgWO4,218.2
334,PrNbO4,182.1
335,TbFeC2,411.7
336,NpN2,132.1
337,KZrBe2,46.7
338,TbBRh3,343.3
339,CeGa3Pd2,170.5
340,TbVO4,253.6
341,NbGaRu2,365.5
342,NaAlF4,198.8
343,Ba(PRu)2,199.8
344,LiAlVO4,124.2
345,Rb2S3,27.5
346,MnBe2Cu,220.3
347,Al3Fe,209.0
348,NpSnIr,172.6
349,Mo2AsP,184.0
350,MnAlNi2,136.3
351,LiBH4,48.7
352,RbHO,40.3
353,HfH2,239.8
354,SrLi2Ta2O7,360.8
355,LiBiF4,103.1
356,Tb2Au,78.9
357,Mn3Sn,221.9
358,Li4TiS4,61.1
359,BaBeCo2,72.0
360,MoP,333.0
361,BeTlIn,49.1
362,LiGaSi,105.8
363,BaCa(CoO2)4,144.8
364,RuAu3,199.0
365,NpB6,472.0
366,MoSe2,170.4
367,Nb3Al,256.7
368,AgCSN,38.6
369,Tm(FeB)2,239.0
370,Ti2AsRh,139.9
371,ZrBeHg,145.3
372,CdS,65.1
373,ZrBe2,233.0
374,Ba2As,48.5
375,BeSiBr,55.3
376,K3VO4,53.0
377,Mn2BeCo,207.3
378,Dy2Tl,85.4
379,CaBeNb,99.6
380,Na2CuP,77.3
381,PrCd,63.5
382,S3(NO)2,36.3
383,MgBeNi2,125.3
384,V3Cu,216.1
385,Cr3Se4,90.9
