,pretty_comp,et_c11
0,VO2F,156.4
1,Si2Mo,376.9
2,CoCO3,217.3
3,Sr(YS2)2,137.7
4,BeFeBi2,44.4
5,K2B2Se7,27.0
6,Ba4InTc,20.1
7,Nd2CuRu,125.2
8,Na2PHO3,57.0
9,BeZnCr,141.4
10,LiCd,42.4
11,RbTl2Bi,29.6
12,NdNiC2,192.8
13,HoAl2Ni,164.6
14,TbAlCu2,139.4
15,GaN,359.6
16,PbF4,235.8
17,BaVS3,87.5
18,Ca3Pb,59.7
19,RbBiO2,29.1
20,NaCN,79.2
21,Ba2SbAu,68.0
22,YbAgGe,95.1
23,YCrO4,236.1
24,TaBe2Fe,228.3
25,VSiRh,244.2
26,Ba2NaTa,22.7
27,Ba2LiSb,33.8
28,TiPbO3,306.1
29,Na2ZnS2,58.4
30,SbS2,13.8
31,Rb2NbF6,51.5
32,MnBeGe2,149.8
33,NbAlPt,137.4
34,SbO2F,131.0
35,ZrBe2Si,187.5
36,MgAuO2,242.3
37,TbAgSn,137.2
38,KZnF3,133.5
39,Rb3Tl,5.4
40,Ti2BeMo,195.0
41,BeMoRh,398.0
42,Dy2In,90.0
43,MnBe2Cl,132.3
44,ScGe2,145.1
45,BeCo4Se,123.7
46,SnAsIr,162.4
47,TbSnRh2,119.5
48,InGeCl3,36.9
49,ScTlTe2,65.7
50,LiScS2,136.4
51,HfCuHg2,111.6
52,MgSnO3,309.2
53,Ag3N,41.5
54,MnSnF6,53.5
55,YMnAs,103.3
56,FeCl2,144.7
57,Pr3Sn,72.9
58,Sm2As4O9,130.8
59,Dy(SiIr)2,307.2
60,Al3Cr,158.2
61,KSmTe2,58.8
62,VRu3C,558.6
63,Sr2CuF6,99.4
64,EuS,181.1
65,FeB2,498.2
66,GaSeBr7,22.8
67,Zr2SN2,276.4
68,CaTiO2,303.5
69,Ni6Ge2B,276.7
70,BeV2Pt,156.5
71,BeCo2Cl,158.8
72,Sr2CaIrO6,174.6
73,RbSb2,44.2
74,CoP,287.0
75,Mg4Ta2O9,282.4
76,MgSbRu2,285.7
77,Ho(CoGe)2,201.6
78,HoTlO2,196.5
79,Sc2PdPt,179.0
80,PuNiC2,148.5
81,ErAlO3,276.9
82,Tl2O,52.6
83,KNaTiO3,109.6
84,K3Zr,8.7
85,Ba2YNbO6,284.9
86,CrBrO,62.2
87,Ba3AsP,74.1
88,NaBeCo4,130.3
89,Sr2BeRu,113.8
90,BaP3,79.8
91,NaVO2,202.5
92,Na4Mo(NO)2,98.1
93,UTlO3,273.6
94,IOF3,21.5
95,MgPd5,217.7
96,Sr(NdS2)2,141.6
97,Rb2LiAsO4,90.7
98,Cd(AgI2)2,21.3
99,LuVO4,275.3
100,BeNbPb,15.6
101,Ba2NbTe,29.0
102,CF2,18.9
103,TiFe2Sb,191.7
104,BeZn2Cl,64.9
105,Sr3Yb,15.9
106,NaInTe2,23.5
107,Dy(SiRu)2,255.8
108,Ga2NiS4,109.4
109,NpB2,353.2
110,AcI3,1.8
111,BeCu2P,176.8
112,CaCoF6,53.4
113,Ho6Bi2Rh,93.2
114,HfBeSb2,123.9
115,TiMo2As,157.1
116,PtS,199.0
117,ErCu,125.4
118,Yb(ZnAs)2,131.7
119,PbCO3,134.0
120,Fe5Si3,360.4
121,CeZnGa,152.5
122,BaNiP2,103.7
123,BeNi3,232.1
124,NbCu3S4,95.6
