,pretty_comp,et_c13
0,FeCu2GeS4,58.5
1,UAl3Ni2,82.2
2,Hf3Au,114.0
3,Sn2IF3,15.9
4,K3Na(SO4)2,15.3
5,KNa(BH4)2,11.8
6,ScBeTe2,21.8
7,Mg2Al2Se5,15.4
8,TiZn(BiO3)2,56.4
9,ScClO,50.5
10,ErPb3,51.0
11,TaSiAs,89.3
12,Ga2NiS4,16.7
13,TiNi2Sn,150.4
14,KPrGeSe4,10.9
15,CeSi2,74.0
16,Al2Ru,110.0
17,CeMgZn2,41.8
18,H7BrO3,10.8
19,CeNbO4,99.6
20,ZrH3,43.9
21,KNdO2,29.5
22,DyBiPt,66.2
23,Ba(BIr)2,37.6
24,Li3FeO4,53.4
25,Li3Pb,23.5
26,NdI2,8.2
27,Ba2ScBi,25.4
28,ZrBe2Os,146.9
29,Li3FeP2HO8,66.9
30,NaYS2,25.5
31,TaGaRu2,170.8
32,TiIr3,224.9
33,Sr(PRh)2,62.4
34,Sm(CrSi)2,93.1
35,Li4UO5,53.5
36,ZrNCl,3.7
37,Nd(SiOs)2,106.1
38,RbCa3,11.0
39,MgAl2O4,85.2
40,Zr2AlN,89.8
41,Li2FeF6,42.2
42,CaF2,48.5
43,RbHoS2,27.9
44,Ba2Sc2O5,65.7
45,Y3SnC,35.2
46,NbAlPt,131.4
47,BeCr2Se,100.2
48,Sr2PbO4,72.6
49,Tl(CuS)2,34.8
50,ZnMo3,205.6
51,NdTe,10.4
52,CaC2(SN)2,27.8
53,Ti2BeMo,98.1
54,GeC,101.8
55,Na2Ni2O3,42.3
56,UN,132.6
57,InFeAs,72.5
58,Lu2CuPt,84.9
59,K2Pt,11.2
60,Er(NiP)2,110.4
61,NaSc2Be,33.3
62,In2Ge2O7,108.5
63,InSe,13.0
64,LuAl,39.6
65,K2As2Pd,7.4
66,CaMoF6,17.1
67,NaYbO2,51.0
68,BaNaHg2,18.5
69,K3VO4,33.9
70,Li2CaSiO4,71.7
71,YZn,48.5
72,Ge2O3,124.2
73,MoPt3,216.2
74,Tb2Cu(Ge2O)2,76.2
75,Tl2Pt(CN)4,11.0
76,Ba3Sb2,1.2
77,K2BeW,10.6
78,FeB2,208.1
79,DyBO3,156.4
80,Ga2TeO6,134.6
81,RbSmO2,36.9
82,USnRu,119.8
83,NpIr2,197.5
84,BeInW,48.5
85,LiMgP,51.1
86,H3F2,5.6
87,Tl(Cu3S2)2,49.9
88,K2NaInP2,17.4
89,YHSe,35.9
90,Be2FeNi,129.2
91,U(FeSi)2,110.7
92,Ba2YbSbO6,57.0
93,HoPaOs2,170.6
94,TmAlO3,137.1
95,Dy3InC,35.4
96,CaTl2O4,74.8
97,CrFe2Sb,246.3
98,Zr2Fe3Ge,121.5
99,ZrInAu,85.1
100,BaTa2Bi2O9,82.0
101,BeO,213.9
102,Th(CuSi)2,95.0
103,CoNiSn,74.2
104,ZrBePd,121.5
105,TaW3,190.1
106,TlBSe3,11.8
107,Rb2ZnF4,31.5
108,Ba2AlCr3O7,76.5
109,Sc2ZnIr,101.7
110,MgFeRh2,127.5
111,K2BeGa,12.6
112,PrRh3C,147.5
113,Mn3GaN,115.5
114,ThSnI6,14.0
115,TaBeBr,2.7
116,Ba2ErNbO6,74.3
117,MnB4,98.3
118,Mg3Mn,45.7
119,ErAs,23.9
120,Ca2AgSbO6,69.4
121,MnSbAu,79.7
122,Th2HN3,89.2
123,Li2AcTl,19.2
124,MgAgAs,68.4
125,BeFeCu2,137.0
126,Na2BH4ClO4,25.9
127,Co3Bi,126.6
128,BaWN3,104.0
129,TiMo2As,191.1
130,Cr2S5,38.5
131,K2SiP2,6.1
132,Be2GePb,42.3
133,NaLuO2,64.5
134,KSrBe2,20.2
135,Zr2OsRu,124.3
136,DyPd3,111.2
137,U(CuGe)2,98.9
138,Dy(GeRh)2,102.5
139,ZrGePt,127.9
140,Be2InSb,38.8
141,Na2Zn2O3,67.5
142,SiBPb,51.3
143,BeCu2Os,146.3
144,CeSe,12.4
145,Sb2TeSe2,21.3
146,VBO3,130.9
147,MgBe2Ru,52.8
148,TmSeO3F,35.0
149,Ba2CrCd,16.4
150,Mg(BC)2,23.4
151,Ba4InCl,20.3
152,H6CNF,17.2
153,NpOsO3,95.1
154,AgBiTe2,41.2
155,NbNiB,192.2
156,ZrZnO3,82.2
157,Ni4N,33.1
158,UP3,12.4
159,K6HgS4,16.9
160,ScGa5Ni,59.2
161,VFeRu2,243.3
162,Lu2MgS4,58.1
163,Ca(ZnP)2,34.3
164,GaN,157.2
165,Mn2V2O7,27.0
166,MgCrF6,28.2
167,BeSeBr4,37.8
168,DyP,26.7
169,Rb2PdCl4,11.0
170,K2ZnF4,34.9
171,HfMnTl,92.2
172,Zr3Ag,87.2
173,YbSmHg2,46.0
174,BeGaW,69.6
175,KCaBe2,23.0
176,CeZrO4,97.5
177,DyAs,23.0
178,VPt3,199.3
179,BeCrGe,16.9
180,MgTiBe,48.2
181,ScCo3B2,170.0
182,Sm(ZnP)3,31.7
183,ZrBe2Cr,79.3
184,Fe(HO)2,34.4
185,KrF2,9.7
186,Cd2PdRh,116.4
187,Sr(NiAs)2,52.4
188,TlGaSe2,16.7
189,In5AgTe8,20.2
190,Tb(MnSi)2,99.2
191,Sr2TaGaO6,125.2
192,Ta2N,227.7
193,SmBr,30.0
194,Ba2HoNbO6,71.4
195,RbMgF3,45.5
196,Pr(GeRh)2,90.1
197,Mg(AlS2)2,16.1
198,LuNi2B2C,132.4
199,Mg2Rh,51.7
200,NdBi2BrO4,31.6
201,K3Y,6.3
202,ZrMoP,123.4
203,Rb2SeCl6,13.9
204,Si2Ni,120.8
205,Er2(NiB2)3,117.6
206,Yb(SiAg)2,63.9
207,Sc2CuRu,94.9
208,TiCuHg2,105.2
209,Ca2CrSbO6,108.2
210,AcH2,43.9
211,SrSO4,54.0
212,KAlF4,20.5
213,V2C,105.7
214,Na2BeNb,32.1
215,Ba2Ti2TlO7,5.9
216,HoTmCu2,55.6
217,BeVSb,41.9
218,BeCl2,9.8
219,K2P3,9.9
220,AlI3,7.5
221,NbV3,35.1
222,Ba2ErRuO6,76.3
223,NpSO,89.8
224,Sc3P,31.6
225,Fe2AsSe,128.7
226,TbNi2,101.5
227,FeCuS2,14.9
228,Sc(Al2Fe)4,78.3
229,Be2MoCl,8.5
230,BaZnF4,63.5
231,CaCrO4,47.2
232,KC4N3,7.4
233,BeNbFe,135.3
234,Ba2YSn,27.9
235,Be2CuRh,124.2
236,ZrMoAs,118.0
237,MnS2,17.4
238,DyNiSb,47.9
239,CaTiO3,119.7
240,MgTiF4,28.1
241,Lu3O2F5,71.9
242,BeFePt,107.9
243,TiSiRu2,142.0
244,GaB3N4,179.9
245,BaBe2Si2O7,35.3
246,U2Ti,32.5
247,VFe3,248.2
248,K2BeRh,22.1
249,BaPr2ZnS5,41.0
250,TaTeBr9,5.5
251,HgPb2(ClO)2,32.5
252,GaCuI4,13.5
253,NpH3,87.4
254,PrSi2,73.3
255,RuN2,74.9
256,DyH2,63.7
257,CaBeOs2,145.0
258,AsOsBr,106.6
259,SrLiAlF6,47.7
