,pretty_comp,et_c12
0,SmIO,37.0
1,TiBe2Cd,72.2
2,NdIr2,149.6
3,Nb2CrAs,174.7
4,NaVO2,110.8
5,TbAl2Ni,67.1
6,CdCu2SiS4,45.8
7,TbAgSe2,48.2
8,K4BeP2,12.3
9,ErIn,58.7
10,PuCdRh2,135.9
11,CeN,97.7
12,CrCo2Sb,221.0
13,MgAu,76.0
14,YScBe,38.8
15,PbS,16.0
16,NaAlSe2,33.1
17,YbF2,85.0
18,YCl,23.1
19,Li8PO3,41.5
20,KPrS2,24.9
21,Sr(SiAg)2,30.1
22,NbN,130.7
23,LiPaRu2,142.5
24,TiSiPt,135.2
25,Sc2MnSn,84.8
26,Pr(MnSi)2,93.5
27,Mn2CrCo,223.2
28,TiBeCd2,74.7
29,RuCl2O,23.9
30,NaB(H4N)2,9.2
31,KRbS,14.4
32,Be2RuPb,138.3
33,MgBeBr2,47.0
34,NiF3,10.4
35,Sr2IrO4,128.3
36,LaBO3,99.3
37,BeCu2Br,41.5
38,NaH,12.3
39,BeSiPt2,238.4
40,Na4GeO4,33.9
41,K2MnH2OF5,20.0
42,BeSbBr2,59.0
43,ScBIr3,126.8
44,RbBeH3,12.9
45,Ta2MnAs,173.5
46,RbSO2F,22.3
47,BaErCuS3,41.5
48,U2InPd2,74.4
49,ScC,79.2
50,SrCd,20.0
51,TePb2O5,55.6
52,KNa2Be,10.0
53,NbBiO4,38.7
54,Rb2PdCl4,6.1
55,NaErO2,63.9
56,Tm2OsRu,95.4
57,TaSiAs,98.2
58,ZrTaBe2,123.7
59,PrFeSi,58.0
60,FePb2(CN)6,25.9
61,NaAsRh2,120.5
62,BeCrSn2,37.6
63,BeBiMo2,78.0
64,NbAsIr2,226.9
65,BaTlIn,23.7
66,LiCaCoF6,47.7
67,RbDyO2,53.8
68,ZnCdS2,34.3
69,NaYb(PS3)2,12.3
70,RbSmO2,52.5
71,AgAsF6,15.1
72,Al3Fe,95.5
73,Ti2Sn,106.9
74,Ni3Pb,113.2
75,MnNbGe,126.5
76,BiSBr,14.1
77,Tm2Cr2C3,126.4
78,SF6,2.3
79,AlMo3,122.9
80,MgCrO3,151.5
81,K3MnH5,8.1
82,BaPt,40.3
83,Rb3ClO,6.5
84,Th(CrSi)2,136.6
85,BeVSi2,154.7
86,V2GeC,119.2
87,SrBeRh,67.6
88,Te2Mo,13.1
89,Sr2N,23.2
90,TaBe2V,162.4
91,CrNiSb,101.4
92,BeCuBr,37.1
93,Sr2ScBe,9.6
94,LiHoO2,80.9
