,pretty_comp,et_c44
0,AgBr,7.0
1,Hg3(SeCl)2,9.1
2,HfZn,76.2
3,CrCo2Sb,50.4
4,Ti2Ge,34.1
5,NiSb2,48.3
6,KNaO,22.9
7,BeCoRh2,122.3
8,HfCo3B2,167.8
9,BeCrGe,20.6
10,Rb2HfF6,16.2
11,TeWSe,36.8
12,AgAsF6,0.5
13,SrMgGe,39.1
14,Na4CO4,19.5
15,TbTlS2,33.0
16,LuIr2,110.2
17,NbAlRu2,108.2
18,Li2PrAs2,22.0
19,BeSiNi,10.9
20,BaVTe2,28.8
21,BeTl2V,30.9
22,BiI3,8.0
23,RuAu3,33.2
24,CaC2,4.7
25,Na2CrO4,10.5
26,Th3Bi4,34.3
27,HoN,127.0
28,ZrTe,39.0
29,ClF,17.5
30,BeCu,110.7
31,YBeFe,31.2
32,Se2NCl3,8.6
33,PbF2,26.7
34,CdAuO2,19.6
35,V2CrTe4,35.9
36,ErSi,56.5
37,BaSrHf2,8.5
38,LiFe2F7,7.8
39,KCoF3,31.2
40,LiFeS2,37.8
41,LiMnPd2,62.4
42,Al3Fe,56.8
43,KSc2Be,36.1
44,Tl3PO4,8.9
45,NiTe,33.3
46,LiMgN,67.1
47,Sr3UO6,42.2
48,CrNiAs,39.4
49,Mg2BePt,6.7
50,Te2MoWSe2,43.3
51,Sc3InN,82.2
52,TiPt,44.3
53,BaGaFe2,25.7
54,FeAu3,54.2
55,CaPAu,37.9
56,NpGa5Co,65.9
57,TbBi,21.8
58,HoGa,39.2
59,Ba4ScBe,0.2
60,BaV4O8,20.3
61,Li8NbO6,47.5
62,ZrB,59.1
63,Ca2ZrBe,6.9
64,Ba2SiTe4,6.6
65,Li3Nb,36.0
66,TlZnF3,34.4
67,Nd3Sm,25.3
68,LiBeOs2,24.8
69,NaErS2,43.7
70,Sc2BeCl,62.5
71,Ca2IN,39.7
72,Rb2NaYF6,18.4
73,CdSiAs2,38.3
74,CuF2,16.0
75,Tl3AsSe3,7.0
76,CeCr2Si2C,103.4
