,pretty_comp,meps_average_sq
0,Er2ZnTc,8.895830483996422
1,NiAg3,11.280085697073991
2,LiBeV2,16.85712114607157
3,Tb4Se3N2,2.4636828800260258
4,Ho(FeB)2,11.47287670987534
5,Y2TeO2,2.521355455570145
6,SiNi,7.161417457459103
7,Pr(SiOs)2,9.446182650503149
8,Al6C3N2,3.5477175761325763
9,Zn2NiN2,6.107937458749888
10,HfGePt,10.394642851007434
11,TiGa2,10.582532778120743
12,LiGa2Pd,8.31188305981262
13,BeV2Pt,16.390167784376096
14,Zr3Cu,19.08655809725787
15,ScBeFe4,18.716607598600767
16,RbMgF3,1.3708391590555036
17,BaZr4Ti,23.523153841835647
18,Dy5AgS8,2.7773908619421936
19,NaTbSe2,2.1991361940543843
20,Sc2BeCl,14.129662652259846
21,VFeSb,5.973918312129822
22,NaPPdS4,2.4860946616463884
23,NaBi2AuO5,2.2880923641030457
24,NaTiS2,3.5439949209895887
25,BeCoNi2,18.62352455005945
26,Er(CoB)2,7.13772606180241
27,PrCoSi,10.298982150355117
28,AgPF6,1.2449364106919951
29,Mg3H4O5,1.487895605656974
30,HfC,6.836063682168756
31,SiP2,4.255760801548884
32,SmMg2,12.748947668990828
33,ZnSiP2,2.928583275237364
34,Sm3InN,4.64896762733405
35,AsRu,10.299082483405986
36,NaDyO2,1.728101077290716
37,GaTeCl,2.3145553928706626
38,TbAgTe2,3.0473649819693955
39,PrLuSe3,2.7235883193561645
40,Zn(CN)2,1.4289390003308984
41,Eu2O3,1.960527139997472
42,PuAl3,13.683638648644106
43,Ti3Ir,19.058633214372954
44,TiAlPt,12.691296230094073
45,BeZnPd,10.986191332759502
46,Ba2CdBr,35.94705133943534
47,SmInRh2,18.272435524581827
48,BaBiBr,13.09347674734764
49,U2Ga2O5,16.03486929579825
50,GaSi(MoS2)4,6.323743616983008
51,Ni2HgAs,8.81048239314965
52,NaFeO2,7.269335136952576
53,TaGaPt,16.816840765534213
54,RbCaO3,10.032409149019657
55,SrClF,1.6258126173291518
56,Rb2AuI,1.168146680287483
57,Ti2ZnTc,11.430682394327992
58,Eu(PRh)2,9.564136134539284
59,Sr(CdGa)2,7.368891820800918
60,Pr2AgRu,11.498882554405014
61,Sm2Re2Si2C,9.707924597976644
62,Ba4HfSe,10.724537286055748
63,MnZn,13.945264429188855
64,IrPbBr,10.899001483316413
